,id,studentID,task_id,query,result_id,result_url,score,content
65,115,2016310023,11,清华大学陈明游泳馆,rb_4,http://map.baidu.com/detail?qt=ninf&uid=d5464cf833441f54fca77897&detail=life&from=alamap&tpl=mapdots,4,TIMESTAMP=1513046464311	USER=2016310023	TASK=11	QUERY=清华大学陈明游泳馆	ACTION=ANNOTATION	INFO:	id=rb_4	src=http://map.baidu.com/detail?qt=ninf&uid=d5464cf833441f54fca77897&detail=life&from=alamap&tpl=mapdots	score=4
66,116,2016310023,11,清华大学陈明游泳馆,rb_9,http://blog.sohu.com/people/!MzE1MjZAcXEuY29t/216039614.html,4,TIMESTAMP=1513046464311	USER=2016310023	TASK=11	QUERY=清华大学陈明游泳馆	ACTION=ANNOTATION	INFO:	id=rb_9	src=http://blog.sohu.com/people/!MzE1MjZAcXEuY29t/216039614.html	score=4
67,117,2017213705,3,死飞价格区间,rb_0,http://bj.58.com/zixingche/17794716008195x.shtml,3,TIMESTAMP=1513046429135	USER=2017213705	TASK=3	QUERY=死飞价格区间	ACTION=ANNOTATION	INFO:	id=rb_0	src=http://bj.58.com/zixingche/17794716008195x.shtml	score=3
68,118,2017213705,3,死飞价格区间,rb_1,http://s.1688.com/selloffer/-D7D4D0D0B3B53236B4E7.html?showStyle=img&cleanCookie=false&beginPage=2,1,TIMESTAMP=1513046429135	USER=2017213705	TASK=3	QUERY=死飞价格区间	ACTION=ANNOTATION	INFO:	id=rb_1	src=http://s.1688.com/selloffer/-D7D4D0D0B3B53236B4E7.html?showStyle=img&cleanCookie=false&beginPage=2	score=1
69,119,2017213705,3,北京死飞购买渠道,rb_0,http://www.dianping.com/search/branch/1515/0_71216400,1,TIMESTAMP=1513046494049	USER=2017213705	TASK=3	QUERY=北京死飞购买渠道	ACTION=ANNOTATION	INFO:	id=rb_0	src=http://www.dianping.com/search/branch/1515/0_71216400	score=1
70,120,2017213705,3,北京死飞购买渠道,rb_1,http://www.dianping.com/search/branch/2/0_18152000,1,TIMESTAMP=1513046494049	USER=2017213705	TASK=3	QUERY=北京死飞购买渠道	ACTION=ANNOTATION	INFO:	id=rb_1	src=http://www.dianping.com/search/branch/2/0_18152000	score=1
71,121,2017213705,3,北京死飞购买渠道,rb_5,http://bj.58.com/zixingche/18134580563978x.shtml,1,TIMESTAMP=1513046494049	USER=2017213705	TASK=3	QUERY=北京死飞购买渠道	ACTION=ANNOTATION	INFO:	id=rb_5	src=http://bj.58.com/zixingche/18134580563978x.shtml	score=1
72,122,2017213705,3,北京死飞购买渠道,rb_6,http://www.dianping.com/shop/18152000/review_more_5star,1,TIMESTAMP=1513046494049	USER=2017213705	TASK=3	QUERY=北京死飞购买渠道	ACTION=ANNOTATION	INFO:	id=rb_6	src=http://www.dianping.com/shop/18152000/review_more_5star	score=1
73,123,2017213705,4, 赴美航班的行李限制,rb_0,http://iask.sina.com.cn/key/5976a6d114ea40220d4e34b9.html,1,TIMESTAMP=1513046892646	USER=2017213705	TASK=4	QUERY= 赴美航班的行李限制	ACTION=ANNOTATION	INFO:	id=rb_0	src=http://iask.sina.com.cn/key/5976a6d114ea40220d4e34b9.html	score=1
74,124,2017213705,4, 赴美航班的行李限制,rb_1,http://parents.tiandaoedu.com/ready/22426.html,4,TIMESTAMP=1513046892646	USER=2017213705	TASK=4	QUERY= 赴美航班的行李限制	ACTION=ANNOTATION	INFO:	id=rb_1	src=http://parents.tiandaoedu.com/ready/22426.html	score=4
75,125,2017213705,4, 赴美航班的行李限制,rb_3,http://www.citicbank.com/global/study/jingyantieshi/201706/t20170627_344407.html,4,TIMESTAMP=1513046892646	USER=2017213705	TASK=4	QUERY= 赴美航班的行李限制	ACTION=ANNOTATION	INFO:	id=rb_3	src=http://www.citicbank.com/global/study/jingyantieshi/201706/t20170627_344407.html	score=4
76,126,2017213705,4, 赴美航班的行李限制,rb_4,http://ask.qyer.com/question/482852.html,2,TIMESTAMP=1513046892646	USER=2017213705	TASK=4	QUERY= 赴美航班的行李限制	ACTION=ANNOTATION	INFO:	id=rb_4	src=http://ask.qyer.com/question/482852.html	score=2
77,127,2016310023,2, 北京周边游,rb_0,http://www.xialv.com/beijing,3,TIMESTAMP=1513046969143	USER=2016310023	TASK=2	QUERY= 北京周边游	ACTION=ANNOTATION	INFO:	id=rb_0	src=http://www.xialv.com/beijing	score=3
78,128,2016310023,2, 北京周边游,rb_3,http://www.dianping.com/beijing/view,1,TIMESTAMP=1513046969143	USER=2016310023	TASK=2	QUERY= 北京周边游	ACTION=ANNOTATION	INFO:	id=rb_3	src=http://www.dianping.com/beijing/view	score=1
79,129,2016310023,2, 北京周边游,rb_7,http://www.lvyou520.com/,1,TIMESTAMP=1513046969143	USER=2016310023	TASK=2	QUERY= 北京周边游	ACTION=ANNOTATION	INFO:	id=rb_7	src=http://www.lvyou520.com/	score=1
80,130,2017213705,4,赴美航班手提行李液体,rb_0,http://news.sina.com.cn/s/2006-08-12/12249730643s.shtml,4,TIMESTAMP=1513046953626	USER=2017213705	TASK=4	QUERY=赴美航班手提行李液体	ACTION=ANNOTATION	INFO:	id=rb_0	src=http://news.sina.com.cn/s/2006-08-12/12249730643s.shtml	score=4
